,Image,Accuracy,F1,Jaccard,Recall,Precision
0,IMG_3496bfree_pMLnY9FjRH_0,0.9684371948242188,0.9404448283308141,0.8875845765060733,0.9102030011285581,0.9727653111365904
1,active-cold-female-girl-41371_0,0.9789619445800781,0.9482844309411952,0.9016548379043475,0.9257401270620114,0.9719541732344008
2,adult-black-body-costume-41944_0,0.995208740234375,0.9907483794932234,0.9816663747299585,0.99373485430581,0.9877798014217731
3,adult-caucasian-child-daughter-41316_0,0.9862632751464844,0.9909659939037393,0.9820937529524671,0.989568302068302,0.9923676395958215
4,american-football-player-uniform-helmet-athlete-159776_0,0.9903793334960938,0.9920751633986928,0.9842749452865365,0.9984440719774833,0.9857869922253099
5,american-football-running-back-runner-football-159662_0,0.9943695068359375,0.9954896592186965,0.9910198220999988,0.9974098181974049,0.9935768792050702
6,attractive-beautiful-body-smiling-41244_0,0.9727592468261719,0.980253352173901,0.9612714631262678,0.9867227077882313,0.973868275449036
7,attractive-beautiful-brunette-cute-41539_0,0.9957771301269531,0.9955104573493448,0.9910610465116279,0.9986005451364875,0.9924394346152602
8,author-jewellery-lipstick-eyelashes_0,0.9965248107910156,0.9979499850355658,0.995908357998464,0.9997970989661065,0.9961096835636377
9,baby-birth-born-care-41167_0,0.9543418884277344,0.943644265313137,0.8933015974896591,0.8955369271466361,0.9972135699145163
10,baby-caucasian-child-daughter-53590_0,0.9199752807617188,0.9440911683341418,0.8941029187573827,0.9729515941201028,0.9168935778106785
11,baby-girl-shy-emotions-160477_0,0.9907608032226562,0.9939737752233087,0.9880197461492041,0.9930793095219155,0.9948698536663114
12,ballerina-in-the-city-girl-beautiful-cute-161000_0,0.9853286743164062,0.9186926557016618,0.8496128880894659,0.8924302788844621,0.946547593116968
13,basketball-dunk-blue-game-163452_0,0.9957427978515625,0.9818713450292399,0.9643882825962091,0.9941120357882964,0.9699284315927982
14,bass-guitar-musician-instrument-guitarist-159260_0,0.8593902587890625,0.8539214520667381,0.7450810885576956,0.9947646396188436,0.748014275002083
15,bath-shower-bathroom-clean-160833_0,0.819793701171875,0.44300334858274776,0.28452427831460336,0.28458893214767234,0.9992021700973353
16,beauty-brunette-cute-equipment-41369_0,0.9647941589355469,0.972621148968361,0.9467015483058727,0.9990492674483801,0.9475552164438356
17,beauty-cold-elegance-face-41207_0,0.9678840637207031,0.9788187936348198,0.9585162628666598,0.9759680510540945,0.981686238689524
18,black-and-white-man-person-street_0,0.9984092712402344,0.9673325499412455,0.9367319071461083,0.9594405594405594,0.9753554502369668
19,borderline-depression-psycholgie-personalities_0,0.9939842224121094,0.9941822930692923,0.9884318860353719,0.9934969180405226,0.9948686143782164
20,bride-groom-wedding-couple-50688_qTdVRv7SPW_0,0.9930419921875,0.9902407704654895,0.9806701850321103,0.9863460493077095,0.994166371225062
21,business-lady-business-girl-businessman-157660_0,0.9961318969726562,0.992292841615615,0.9847035751998793,0.9933801037877981,0.9912079568749526
22,call-calling-cell-cellphone-41541_0,0.9801521301269531,0.9889539240850312,0.97814921361527,0.9935671017831244,0.9843833867975166
23,car-toy-childhood-child-163768_0,0.9732589721679688,0.9670932186681437,0.9362831536657638,0.9532834826386318,0.9813089454129751
24,celebration-christmas-claus-decoration-41513_0,0.9950141906738281,0.9945917315976115,0.9892416472544387,0.9968315057812578,0.992361999917427
25,child-childrens-baby-children-s_0,0.9897727966308594,0.990927579684005,0.9820182969362021,0.9934185975506327,0.9884490231289578
26,child-girl-read-learn-159543_0,0.9427261352539062,0.9362598174485248,0.8801583627336729,0.9561417199937569,0.917187915890338
27,concentration-curiosity-curious-education-41327_0,0.9901046752929688,0.9930486327727218,0.9861932413947274,0.9928570663065728,0.9932402731765891
28,cooking-smoking-cigarette-kitchen_0,0.9827957153320312,0.9817849901857042,0.9642216827708759,0.9699155720829277,0.9939485132969154
29,costume-aggressive-demon-devil-41662_0,0.9939689636230469,0.9949460884130845,0.9899430039948093,0.9977048486674659,0.9922025426214248
30,dance-scene-free-license-cc0_0,0.983673095703125,0.9302908889540376,0.869667164042754,0.8739786394099825,0.9943595278715922
31,delicate-arch-night-stars-landscape_0,0.99334716796875,0.0,0.0,0.0,0.0
32,disgust-disgusted-expression-female-41530_0,0.9898452758789062,0.9917935754362167,0.9837207453476924,0.9986218113868178,0.9850580836379892
33,dive-diver-diving-mask-41509_0,0.9924736022949219,0.9960645705634664,0.9921599949137321,0.9983566310536753,0.9937830103444021
34,doll-boy-cheeky-toys-160472_0,0.9838027954101562,0.9917147986262879,0.9835657582548585,0.9847320553211112,0.99879727854793
35,dots-dotted-color-cute-41512_0,0.530426025390625,0.6461253636604073,0.47724164875952335,0.9977980217711718,0.47774480712166173
36,family-outdoor-happy-happiness-160994_0,0.9860382080078125,0.9768878111620506,0.9548198348331667,0.968072590738423,0.985865048815927
37,fashion-man-person-model_0,0.9892120361328125,0.9891439539347409,0.978521083971321,0.9942200100320253,0.9841194668296223
38,fashion-person-woman-apple_0,0.9883880615234375,0.9920147742416134,0.984156065874123,0.9961907872899796,0.9878736265745738
39,fashion-woman-graffiti-girl_0,0.9927711486816406,0.9891147631383946,0.9784639512682971,0.9957209108677298,0.9825956951450548
40,girl-about-red-blue-eyes-90757_0,0.9612693786621094,0.9443747431858649,0.894611735641848,0.9110859752423438,0.9801883359112
41,girl-back-water-rock-160453_0,0.9956398010253906,0.9828894777024295,0.9663546450017662,0.9936739512077002,0.9723365814649172
